ticker,freq_per_bar,psd
AMD,0.41015625,0.00022999888925777744
AMD,0.4140625,0.00022916302649794742
AMD,0.41796875,0.0001781949388501602
AMD,0.421875,0.00023133874587009628
AMD,0.42578125,0.0009728354731279514
AMD,0.4296875,0.0011759531641022808
AMD,0.43359375,0.0002564068525593981
AMD,0.4375,0.00016209333731813575
AMD,0.44140625,0.00014204884091095467
AMD,0.4453125,0.0001624169178817518
AMD,0.44921875,0.00016873527599923512
AMD,0.453125,0.00020339732721701685
AMD,0.45703125,0.0001914290994167037
AMD,0.4609375,0.0002064933705182014
AMD,0.46484375,0.00012590015084216693
AMD,0.46875,0.0001418247176898992
AMD,0.47265625,0.00015960836846879827
AMD,0.4765625,0.00016227587078037869
AMD,0.48046875,0.00018991520712293583
AMD,0.484375,0.00019184364584516744
AMD,0.48828125,0.00021471635607898194
AMD,0.4921875,0.00016681732588920745
AMD,0.49609375,0.00016757279592246409
AMD,0.5,9.635144727707669e-05
AMZN,0.0,4.171496238509377e-05
AMZN,0.00390625,0.00021093157020188468
AMZN,0.0078125,0.00021109086074351543
AMZN,0.01171875,0.00015309155047023298
AMZN,0.015625,0.00011186951799003942
AMZN,0.01953125,0.00013275322496609016
AMZN,0.0234375,9.511422193424642e-05
AMZN,0.02734375,0.0001082469293740921
AMZN,0.03125,0.0001167219087157023
AMZN,0.03515625,0.0001182607842314605
AMZN,0.0390625,7.412820834498413e-05
AMZN,0.04296875,8.03375841601092e-05
AMZN,0.046875,9.780366350423715e-05
AMZN,0.05078125,9.317982756261508e-05
AMZN,0.0546875,9.193808741021085e-05
AMZN,0.05859375,6.052105861718393e-05
AMZN,0.0625,5.62754070915475e-05
AMZN,0.06640625,5.479492235347509e-05
AMZN,0.0703125,5.8977496100841764e-05
AMZN,0.07421875,5.423702171566034e-05
AMZN,0.078125,4.1411104913272724e-05
AMZN,0.08203125,4.592920742573484e-05
AMZN,0.0859375,5.153451759663222e-05
AMZN,0.08984375,6.36453557477263e-05
AMZN,0.09375,7.482455755689849e-05
AMZN,0.09765625,7.553254962136962e-05
AMZN,0.1015625,6.0873114402302564e-05
AMZN,0.10546875,6.956705885607677e-05
AMZN,0.109375,7.169707318649221e-05
AMZN,0.11328125,7.076635762681889e-05
AMZN,0.1171875,7.798169535636596e-05
AMZN,0.12109375,8.040170757575486e-05
AMZN,0.125,9.476904165556916e-05
AMZN,0.12890625,9.456989411490409e-05
AMZN,0.1328125,0.00011729784930516688
AMZN,0.13671875,0.00011823861396001537
AMZN,0.140625,0.00045304641614638924
AMZN,0.14453125,0.0005184827472797213
AMZN,0.1484375,0.00014849190120808458
AMZN,0.15234375,0.00010172768709709042
AMZN,0.15625,8.444729623802356e-05
AMZN,0.16015625,8.021868743679607e-05
AMZN,0.1640625,8.097137826868117e-05
AMZN,0.16796875,7.59465720263933e-05
AMZN,0.171875,7.772592834077116e-05
AMZN,0.17578125,8.191388913237957e-05
AMZN,0.1796875,7.060276370976978e-05
AMZN,0.18359375,5.626842208188297e-05
AMZN,0.1875,6.527365792857138e-05
AMZN,0.19140625,6.222622814220226e-05
AMZN,0.1953125,7.01779992419272e-05
AMZN,0.19921875,6.105837345573722e-05
AMZN,0.203125,3.313314458928601e-05
AMZN,0.20703125,3.373677078917265e-05
AMZN,0.2109375,4.0740837307654e-05
AMZN,0.21484375,6.000805100069708e-05
AMZN,0.21875,6.416304107992558e-05
AMZN,0.22265625,4.231538951737603e-05
AMZN,0.2265625,4.290043998594554e-05
AMZN,0.23046875,7.941812777462788e-05
AMZN,0.234375,7.130617020524776e-05
AMZN,0.23828125,5.4841881355626745e-05
AMZN,0.2421875,7.543095026169592e-05
AMZN,0.24609375,6.781427077424486e-05
AMZN,0.25,0.00011613720200539524
AMZN,0.25390625,0.00010406427946017952
AMZN,0.2578125,5.166967078664843e-05
AMZN,0.26171875,5.042996567505401e-05
AMZN,0.265625,5.9202471015082196e-05
AMZN,0.26953125,7.015329708364136e-05
AMZN,0.2734375,6.8423327752895e-05
AMZN,0.27734375,6.681185611871168e-05
AMZN,0.28125,0.00014267135480305657
AMZN,0.28515625,0.0005413272667380255
AMZN,0.2890625,0.00029672387995420237
AMZN,0.29296875,9.08084551794361e-05
AMZN,0.296875,8.087736587021088e-05
AMZN,0.30078125,9.17746498187064e-05
AMZN,0.3046875,8.21975877022059e-05
AMZN,0.30859375,6.065196178242966e-05
AMZN,0.3125,6.539727729844661e-05
AMZN,0.31640625,7.624898981836425e-05
