ticker,H_dfa
MSGS,0.4469952606550424
MTCH,0.4790246369580978
MTH,0.46125592460664816
MTRN,0.4614839272965768
MTUS,0.4860715094959647
MTX,0.48663859157112677
MWA,0.4721543322325324
MXL,0.4498247833311613
MYRG,0.48309548059032364
NAVI,0.49180779797713015
NBHC,0.46489654059078445
NBTB,0.4268838042734395
NEO,0.5003313827373007
NEOG,0.4948968074670341
NGVT,0.48922469207079644
NHC,0.4484928317606451
NHI,0.4032825014828156
NIC,0.4285671421933498
NMIH,0.5006762931311054
NOG,0.5027506811223208
NPK,0.4617335651347577
NPO,0.4726353671150947
NSIT,0.47951287406600035
NSP,0.47601248949504654
NSSC,0.4641156671393734
NTCT,0.48451730310542895
NWBI,0.4778396186004581
NWL,0.4513282186786402
NWN,0.4177307374571134
NX,0.44176982738428766
NXRT,0.5336429235478568
OFG,0.5032490100650695
OI,0.4717850336541086
OII,0.5046831014286004
OMCL,0.5003818387969339
OPLN,0.42634586454641865
OSIS,0.430998917493258
OTTR,0.4444761233463929
OUT,0.47080378938358775
PAHC,0.4836375255037229
PARR,0.4708343318064908
PATK,0.5029306538585934
PAYC,0.46651018916234
PBH,0.4619417486840951
PBI,0.46966795137004463
PCRX,0.46710676212782287
PDFS,0.4891859000938953
PEB,0.48512325204064866
PENN,0.4875923647277727
PFBC,0.4742077897915763
PFS,0.48398383276015516
PIPR,0.5144262119412427
PJT,0.4339383567380214
PLAB,0.4180591556149249
PLUS,0.4323193355242015
PLXS,0.4442547560581583
PMT,0.41138362324413236
POOL,0.4266991311228263
POWI,0.43249673358261154
POWL,0.45333696982241717
PPLI,0.5182650645058735
PRDO,0.48218840954132186
PRG,0.492249874037888
PRGO,0.41810839582082127
PRGS,0.4385895833515119
PRIM,0.47202688003535953
PRK,0.4658202946523497
PRKS,0.5069718084167959
PRLB,0.4548469245850264
PRSU,0.503873240793493
PSMT,0.4541499627925518
PTCT,0.4820608300006592
PTEN,0.5135172174190595
PZZA,0.45348485167316327
QDEL,0.4806352716260931
QNST,0.5152188821053112
QRVO,0.47994278073153973
QTWO,0.4862860556770415
RAMP,0.5017276113027821
RDN,0.5134002011995177
RDNT,0.5144428366037752
RES,0.4826050927126238
REX,0.46206029806441934
RHI,0.4929653961889091
RHP,0.4810884307002555
RITM,0.4961091544492938
RNG,0.45908033465182285
RNST,0.4728506896272072
ROCK,0.4846951377871191
ROG,0.4858072856642512
RRR,0.4658072935528599
RUN,0.4664271399295059
RUSHA,0.47415210794528484
SABR,0.4732855953762725
SAFE,0.48326782959177844
SAFT,0.4309501961179576
SAH,0.445436215135597
SBCF,0.45148714495395553
SBH,0.479701450066341
SBSI,0.43088830089325025
SCHL,0.4373991253435212
SCL,0.43328064474968886
SCSC,0.4153104655687049
SEDG,0.4995948407422325
SFBS,0.48131131446763586
SFNC,0.4764418823521958
SHAK,0.5073437194178742
SHEN,0.4341250183197278
SHO,0.45796255751876946
SHOO,0.475010774260859
SIG,0.5154064157974769
SKT,0.513974147250516
SKY,0.5026578002608207
SKYW,0.49459719571808036
SLG,0.49974123994475816
SM,0.5705430479290665
SMP,0.426330193131329
SNEX,0.4684028505098754
SPNT,0.4931041638792359
SPSC,0.4811692762587853
SRPT,0.4897886374771345
STAA,0.5095373293567913
STBA,0.4836752314043765
STC,0.4965777496463095
STRA,0.47042734273847125
SUPN,0.4541392814654702
SXI,0.4503488496280175
SXT,0.4785594021943971
TBBK,0.4806866810673506
TDC,0.4797170976170051
TDS,0.4490354671802883
TDW,0.49549969334901334
TFIN,0.5163172513430314
TFX,0.44489185676763
TGTX,0.4671441802145045
THRM,0.4510330636654824
TILE,0.5028827860360887
TMP,0.44659458429669746
TNC,0.43744409982874627
TNDM,0.5488084013679698
TPC,0.4569351010153443
TR,0.4481717613407312
TRIP,0.4750924310655913
TRMK,0.4659816271204529
TRN,0.46695623936035036
TRNO,0.4282010459598663
TRST,0.4535165115718415
TRUP,0.48232280491431456
UA,0.49348804268549573
UAA,0.49008959629359855
UCB,0.5108604487211909
UCTT,0.5137135639803684
UE,0.490695214027612
UFCS,0.44552040907437573
UFPT,0.43626850280794155
UNF,0.45047700095508336
UNFI,0.5114868749540517
UNIT,0.4902391966876115
UPBD,0.499263495607049
URBN,0.48937036893845565
USLM,0.47706657892146215
USPH,0.42505078911732763
UTI,0.4516769398723828
UTL,0.4459295098264501
UVV,0.44876935347209446
VAC,0.4800181939637877
VCEL,0.4647045992439376
VCYT,0.47936353032813694
VECO,0.47652803190234644
VIRT,0.5205098355051375
VRTS,0.5160472352036479
VSAT,0.47348866224277236
VSEC,0.48198849403140254
VSH,0.4849417664936499
VTOL,0.49346093977272504
VVX,0.4512224961079299
VYX,0.46228795435899833
WABC,0.40799058378118225
WAFD,0.47934558441942443
WD,0.5034984212329355
WDFC,0.4372117787736443
WEN,0.41989789723199705
WERN,0.4058872439738238
WGO,0.4820173940047436
WINA,0.4355211253174877
WKC,0.4481659657035285
WLY,0.48580856416525015
WOR,0.4802047830155785
WRLD,0.47130997337664704
WSBC,0.4751096325806033
WSC,0.4707958981609298
WSFS,0.48222058978962934
WT,0.5027339636941598
WU,0.4436821170425018
WWW,0.5029497037335415
XHR,0.49388576286215713
XNCR,0.47871706862016217
YELP,0.47186091768942107
ZD,0.4526622839323715
ZWS,0.4603137884199241
