ticker,n_days,H_dfa,H_rs_implied,rs_rejects_null,ann_vol
MDT,5355,0.4609461836259446,0.5327366691563119,False,0.2346190336700508
EMR,5355,0.461050878326869,0.5036029952696071,False,0.2862208296438457
SCHW,5355,0.46306385031313924,0.4793589624279541,False,0.3622679635778355
TMO,5355,0.4635737370936948,0.5255631293231255,False,0.26490775972988007
TXN,5355,0.4649749076953698,0.5184131954816925,False,0.2963447570319807
CHTR,4095,0.46563493610460804,0.5554398657994791,False,0.30923870505193146
TGT,5355,0.4675006108800788,0.5348569155768554,False,0.31288610179915066
RTX,5355,0.4693429988318221,0.5010682285507002,False,0.25624181420400055
XOM,5355,0.47022512284372187,0.5532866669954342,False,0.26503673078920037
MRK,5355,0.4738677536815228,0.5049498615707798,False,0.24625481458535906
COF,5355,0.4747095537276481,0.543403322389075,False,0.43841365167596064
T,5355,0.47525853426439957,0.5088783447174875,False,0.2244587793538953
MS,5355,0.4753278228352518,0.5082472950958786,False,0.4507021704059807
ADBE,5355,0.47765903604066595,0.5620042207180498,False,0.3425443300802269
CRM,5355,0.47796963496852807,0.5029667022331461,False,0.40434007367643854
KHC,2712,0.47807946164281434,0.5453072244560777,False,0.27307661874511857
CSCO,5355,0.4788832877500308,0.5056690938307424,False,0.2793799645549901
DOW,1779,0.47923372623150445,0.5248909790266758,False,0.3896942325076243
HON,5355,0.47979807305000505,0.5100872643369065,False,0.25138851435051185
BLK,5355,0.47989195786326677,0.47574474806831146,False,0.3294425691592233
PM,4550,0.482145672773853,0.49293512364817516,False,0.23511994759213492
MA,5004,0.48508134456730906,0.519996167414149,False,0.3219394653047258
AMZN,5355,0.48517881787168204,0.5191261545886247,False,0.3740821315357322
COP,5355,0.4863384717132116,0.5216175077154324,False,0.3476723911036871
DIS,5355,0.48877956091560787,0.5487288052680366,False,0.27746650692252645
DE,5355,0.4898034771658009,0.5008965492715726,False,0.3237415264779325
BKNG,5355,0.4911299176398218,0.5328466048036306,False,0.3762570409320022
SPG,5355,0.4911444750741392,0.518296218449266,False,0.3904972451724933
C,5355,0.49209281167974744,0.5597500451212704,False,0.48024250135353436
TMUS,4779,0.4930499901288825,0.541237864789849,False,0.40563279985024786
AXP,5355,0.49339511739268954,0.5433813979018487,False,0.3493212495336999
MMM,5355,0.4937927292771913,0.5378844442853964,False,0.2415113067474226
GOOGL,5355,0.4951601779821969,0.5100228443875977,False,0.299529634157883
GOOG,5355,0.49549237725222384,0.5095304031307364,False,0.29929865110395615
GD,5355,0.49625375007609174,0.5018556739688962,False,0.2329068693235607
SBUX,5355,0.49819416721294985,0.5682487571922951,False,0.3095037090298731
GM,3874,0.4983784987083465,0.49310230241590325,False,0.3443866187056768
META,3497,0.4986192813794579,0.5242620492095608,False,0.3974820928268282
PYPL,2712,0.49949640171978593,0.5728776876401298,False,0.3880154231312941
BAC,5355,0.5016752517386962,0.5337406766444783,False,0.45329398843623775
BA,5355,0.5080756608266047,0.5238302600780878,False,0.35124087097466516
F,5355,0.5101162799821598,0.54408229293664,False,0.41480852299556287
FDX,5355,0.5109576977935136,0.5048899864733988,False,0.3135141489664964
CAT,5355,0.5126019600447105,0.5154622891784878,False,0.3173284553568692
AAPL,5355,0.5143313293411337,0.4834491123953764,False,0.32064210243915753
GS,5355,0.5161350959789297,0.5278451127548018,False,0.34582445780668297
TSLA,3974,0.5162474688268723,0.5203082176880487,False,0.5723866224490018
GE,5355,0.5258361497145762,0.5476395636490237,False,0.32954197511174893
AMD,5355,0.530235867864505,0.5600428300687188,False,0.5726372496165857
NVDA,5355,0.5473393262470182,0.545472498664505,False,0.485096083969699
NFLX,5355,0.5481708000261867,0.4976626112769796,False,0.49856437557829936
AIG,5355,0.5507496002712055,0.5608880112415101,False,0.5905141904422032
